,url
0,https://www.larepublica.net/
1,http://www.lacapital.com.ar
2,https://www.marketingdirecto.com/
3,https://www.elplural.com/
4,https://www.europapress.es/
5,https://www.diariovasco.com/
6,https://www.periodistadigital.com/
7,https://www.lavozdegalicia.es/
8,http://www.losandes.com.ar
9,https://diario.mx
10,http://diariodeibiza.es/
11,https://www.diaridetarragona.com/
12,http://www.elliberal.com.ar
13,http://www.lanueva.com
14,https://www.lavozdigital.es/
15,http://www.tycsports.com
16,https://www.diariodemallorca.es/
17,https://www.laregion.es/
18,http://www.elancasti.com.ar
19,https://www.atlantico.net/
20,https://cronicaglobal.elespanol.com/
21,https://www.lavozdebolivia.com/
22,https://www.bolivia.com/
23,http://www.Perfil.com
24,https://www.resultados-futbol.com/
25,https://442.perfil.com/
26,https://noticias.perfil.com
27,https://cryptopotato.com/
28,https://caras.perfil.com
29,http://lavozdeasturias.es/
30,https://panamericana.pe/
31,https://www.eldiariodechihuahua.mx
32,https://pix-geeks.com
33,https://www.elperiodic.com/
34,https://www.diariosigloxxi.com
35,http://www.elchubut.com.ar
36,https://www.tiemposur.com.ar/
37,http://www.canal26.com
38,https://www.emprendedores.es/
39,https://elcorreoweb.es/
40,http://www.sevillaactualidad.com/
41,https://www.granadadigital.es/
42,https://www.madridiario.es/
43,https://www.eldigitaldealbacete.com/
44,http://subrayado.com.uy
45,http://www.elonce.com
46,https://www.puromarketing.com/
47,https://www.coinspeaker.com/
48,https://www.diariodemorelos.com/
49,https://www.diariocritico.com
50,https://www.azonline.de/
51,http://www.unoentrerios.com.ar
52,https://www.cinemascomics.com/
53,http://www.elsol.com.ar
54,https://www.besoccer.com/
55,https://www.elprogreso.es/
56,http://www.unosantafe.com.ar
57,http://www.diariodemocracia.com
58,https://pt.besoccer.com/
59,https://fr.besoccer.com/
60,https://vinetur.com
61,https://it.besoccer.com/
62,https://www.eldestapeweb.com/
63,https://es.besoccer.com/
64,http://www.ellitoral.com.ar
65,https://www.diarionorte.com/
66,http://www.tiempodesanjuan.com
67,http://andaluciainformacion.es/
68,https://www.eldesconcierto.cl/
69,https://redhistoria.com/
70,https://www.lavozdealmeria.com/
71,http://aragondigital.es/
72,https://www.estadiodeportivo.com/
73,http://www.canalnet.tv
74,https://www.driverscloud.com/
75,https://www.trecebits.com/
76,https://www.diariodepontevedra.es/
77,https://www.dbalears.cat/
78,http://www.donbalon.com/
79,https://elcierredigital.com/
80,https://www.elperiodista.cl/
81,https://www.bigbangnews.com/
82,https://wiwsport.com/
83,https://www.14ymedio.com/
84,http://regiondigital.com/
85,https://www.cotilleo.es/
86,http://www.mendozapost.com
87,https://www.nuevatribuna.es/
88,http://esdiario.com/
89,http://www.galiciaconfidencial.com/
90,https://www.elobservatodo.cl/
91,http://www.diarioelargentino.com.ar
92,https://www.elmorrocotudo.cl/
93,https://www.elmira.es/
94,https://www.galiciapress.es/
95,https://www.ecoticias.com/
96,https://laopinionaustral.com.ar
97,http://www.eldiarioar.com
98,http://www.eltucumano.com
99,https://larazon.pe/
100,https://www.mundiario.com/
101,https://www.elcontribuyente.mx/
102,http://ecosdelcombeima.com
103,http://www.gentedigital.es/
104,http://www.diariohuarpe.com
105,https://www.elboletin.com/
106,http://www.kreiszeitung-wochenblatt.de
107,https://www.atodomotor.com/
108,https://www.generation-nt.com/
109,https://www.cronica.com.mx/
110,https://www.poblanerias.com/
111,https://lapublicidad.net
112,http://www.diarioeltiempo.com.ar
113,http://thebossmagazine.com
114,https://huelvabuenasnoticias.com/
115,https://www.reportmotori.it
116,https://www.cadizdirecto.com
117,https://www.riazor.org
118,https://lacronicadesalamanca.com/
119,https://vl-media.fr/
120,http://zamoranews.com
121,http://www.carasycaretas.com.uy
122,http://www.baenegocios.com
123,https://www.diariobahiadecadiz.com/
124,http://huelva24.com
125,https://www.praguepost.com/
126,https://www.zonamovilidad.es/
127,https://www.alwihdainfo.com/
128,http://www.lv12.com.ar
129,http://palencia.portaldetuciudad.com/
130,http://www.laarena.com.ar
131,https://www.estrelladigital.es
132,https://huelvaya.es/
133,https://www.lr21.com.uy/
134,https://catalunyadiari.com/
135,https://www.metropoliabierta.com/
136,http://www.diariopopular.com.ar
137,http://www.elcivismo.com.ar
138,http://www.diariolamanana.com.ar
